,Actual,Predicted
654,150256278,92546148.49024962
655,112932985,92546148.49024962
656,96438664,92546148.49024962
657,116662189,92546148.49024962
658,92067016,92546148.49024962
659,125732687,92546148.49024962
660,210970819,92546148.49024962
661,123538954,92546148.49024962
662,140006559,92546148.49024962
663,121999312,92546148.49024962
664,153364142,92546148.49024962
665,127015177,92546148.49024962
666,122515812,92546148.49024962
667,109015048,92546148.49024962
668,128259744,92546148.49024962
669,119727972,92546148.49024962
670,95108492,92546148.49024962
671,107607259,92546148.49024962
672,112249449,92546148.49024962
673,88965043,92546148.49024962
674,119840693,92546148.49024962
675,103889930,92546148.49024962
676,157849625,92546148.49024962
677,105592510,92546148.49024962
678,98288792,92546148.49024962
679,125473558,92546148.49024962
680,109520332,92546148.49024962
681,136196668,92546148.49024962
682,132001430,92546148.49024962
683,156952130,92546148.49024962
684,137605054,92546148.49024962
685,96870719,92546148.49024962
686,162061496,92546148.49024962
687,128818746,92546148.49024962
688,150711736,92546148.49024962
689,148029931,92546148.49024962
690,164398372,92546148.49024962
691,151143052,92546148.49024962
692,146911576,92546148.49024962
693,185710777,92546148.49024962
694,164489739,92546148.49024962
695,200242371,92546148.49024962
696,150740523,92546148.49024962
697,162384343,92546148.49024962
698,170575536,92546148.49024962
699,160171238,92546148.49024962
700,167915649,92546148.49024962
701,165611217,92546148.49024962
702,211797109,92546148.49024962
703,166875944,92546148.49024962
704,177460803,92546148.49024962
705,179990552,92546148.49024962
706,164968214,92546148.49024962
707,159770797,92546148.49024962
708,131283360,92546148.49024962
709,112620784,92546148.49024962
710,119685891,92546148.49024962
711,131530862,92546148.49024962
712,120707419,92546148.49024962
713,113879174,92546148.49024962
714,119425405,92546148.49024962
715,91972358,92546148.49024962
716,95672139,92546148.49024962
717,112681458,92546148.49024962
718,120062369,92546148.49024962
719,131569593,92546148.49024962
720,112434713,92546148.49024962
721,142355353,92546148.49024962
722,175158273,92546148.49024962
723,161796073,92546148.49024962
724,137005037,92546148.49024962
725,112757327,92546148.49024962
726,95856177,92546148.49024962
727,103697263,92546148.49024962
728,111446026,92546148.49024962
729,84582172,92546148.49024962
730,83645720,92546148.49024962
731,101752865,92546148.49024962
732,97829545,92546148.49024962
733,99539907,92546148.49024962
734,111097943,92546148.49024962
735,96642183,92546148.49024962
736,101596324,92546148.49024962
737,109498608,92546148.49024962
738,99038642,92546148.49024962
739,98595331,92546148.49024962
740,88197599,92546148.49024962
741,112484520,92546148.49024962
742,120718417,92546148.49024962
743,136276584,92546148.49024962
744,135702671,92546148.49024962
745,130597886,92546148.49024962
746,101077635,92546148.49024962
747,99777432,92546148.49024962
748,106612231,92546148.49024962
749,107673727,92546148.49024962
750,134047603,92546148.49024962
751,121988437,92546148.49024962
752,108861698,92546148.49024962
753,132541640,92546148.49024962
754,129469565,92546148.49024962
755,116959759,92546148.49024962
756,115312886,92546148.49024962
757,118559635,92546148.49024962
758,174667852,92546148.49024962
759,135999866,92546148.49024962
760,111673737,92546148.49024962
761,107709842,92546148.49024962
762,133692313,92546148.49024962
763,101543305,92546148.49024962
764,103704040,92546148.49024962
765,122514643,92546148.49024962
766,119951516,92546148.49024962
767,127524083,92546148.49024962
768,104636557,92546148.49024962
769,101993631,92546148.49024962
770,136597184,92546148.49024962
771,117058870,92546148.49024962
772,128522729,92546148.49024962
773,123810402,92546148.49024962
774,101985305,92546148.49024962
775,129721567,92546148.49024962
776,119159214,92546148.49024962
777,118121812,92546148.49024962
778,101377947,92546148.49024962
779,122656030,92546148.49024962
780,103706266,92546148.49024962
781,111508114,92546148.49024962
782,102296786,92546148.49024962
783,88917176,92546148.49024962
784,93562909,92546148.49024962
785,125147846,92546148.49024962
786,170772713,92546148.49024962
787,138010095,92546148.49024962
788,150683368,92546148.49024962
789,118231113,92546148.49024962
790,107065087,92546148.49024962
791,115112635,92546148.49024962
792,94881173,92546148.49024962
793,136448167,92546148.49024962
794,118068273,92546148.49024962
795,121661656,92546148.49024962
796,125987621,92546148.49024962
797,119534790,92546148.49024962
798,117335820,92546148.49024962
799,116900130,92546148.49024962
800,106584841,92546148.49024962
801,142110454,92546148.49024962
802,131310128,92546148.49024962
803,140447569,92546148.49024962
804,149771642,92546148.49024962
805,150353975,92546148.49024962
806,136816819,92546148.49024962
807,142766234,92546148.49024962
808,116562402,92546148.49024962
809,122288000,92546148.49024962
810,118117078,92546148.49024962
811,65125203,92546148.49024962
812,112031763,92546148.49024962
813,148549913,92546148.49024962
814,135401335,92546148.49024962
815,132353196,92546148.49024962
816,121331709,92546148.49024962
817,104099817,92546148.49024962
818,137971115,92546148.49024962
819,126436179,92546148.49024962
820,107142262,92546148.49024962
821,103126829,92546148.49024962
822,97913888,92546148.49024962
823,95328313,92546148.49024962
824,146286348,92546148.49024962
825,160829239,92546148.49024962
826,135932762,92546148.49024962
827,116416490,92546148.49024962
828,106737369,92546148.49024962
829,125096987,92546148.49024962
830,109594227,92546148.49024962
831,93370094,92546148.49024962
832,86892382,92546148.49024962
833,106494359,92546148.49024962
834,113619943,92546148.49024962
835,100891578,92546148.49024962
836,104654163,92546148.49024962
837,121082599,92546148.49024962
838,102629283,92546148.49024962
839,92488939,92546148.49024962
840,85166580,92546148.49024962
841,96705664,92546148.49024962
842,91628502,92546148.49024962
843,105873612,92546148.49024962
844,123043812,92546148.49024962
845,115355046,92546148.49024962
846,103164400,92546148.49024962
847,108595431,92546148.49024962
848,102260343,92546148.49024962
849,117952527,92546148.49024962
850,106605946,92546148.49024962
851,123369932,92546148.49024962
852,198076787,92546148.49024962
853,107343231,92546148.49024962
